cell,long,lat,biomass,sr,evesimpson,jac,depth,chl,sst.sea,sst,pielou.sed,effort,feeding.mode_benthivorous,tl
16305,-8.25,49.25,227954.2752,28.72,0.102001195,0.584757651,141,0.579483558,0.182261773,13.75319666,0.119414869,235263.2332,0.396843917,3.914716452
16307,-7.25,49.25,465795.7699,25.32,0.083596953,0.594805844,132,0.575257394,0.186191789,13.68555753,0.185520886,717707.1936,0.391836091,3.911649768
16308,-6.75,49.25,258259.101,19.5,0.118425225,0.640949246,120,0.65437094,0.18707689,13.60786627,0.144526361,1436303.286,0.307627184,3.960127883
16500,-10.75,48.75,133756.3829,18.65,0.111137086,0.620655275,1473,0.609614367,0.164083339,14.2898805,0.175682162,46182.82614,0.484647785,3.855391668
16501,-10.25,48.75,1968307.59,16.71,0.20162045,0.81447027,302,0.665028673,0.164083339,14.2898805,0.158624357,67491.0312,0.330567208,3.867407265
16502,-9.75,48.75,193967.136,22.52,0.126618964,0.549579451,208,0.666602576,0.169514878,14.25929046,0.110425644,44689.18096,0.386967191,3.934924871
16503,-9.25,48.75,182857.0962,20.81,0.204928418,0.563706192,163,0.637991299,0.169514878,14.25929046,0.10168547,68113.11478,0.411895702,3.950057506
16504,-8.75,48.75,243632.5192,21.35,0.199082242,0.564360767,177,0.590787939,0.174341249,14.22958393,0.100014889,193287.1612,0.48509472,3.875321429
16505,-8.25,48.75,301643.482,22.22,0.125513325,0.574858173,177,0.57940768,0.174341249,14.22958393,0.127135505,269140.6145,0.372684337,3.992864317
16506,-7.75,48.75,137488.7504,19.93,0.127285212,0.635288929,127,0.527811482,0.177636861,14.1884065,0.163720764,321824.0394,0.347521076,3.965850846
16507,-7.25,48.75,501913.4965,23.17,0.097985737,0.595562113,117,0.530975125,0.177636861,14.1884065,0.174528669,500008.8305,0.405371083,3.926311868
16508,-6.75,48.75,275261.4889,26.62,0.072580558,0.588645421,137,0.550861855,0.178655377,14.12124301,0.177274505,808990.1305,0.420609514,3.882090538
16509,-6.25,48.75,239461.7129,17.71,0.157906276,0.642664493,134,0.611160349,0.178655377,14.12124301,0.213899653,NA,0.483236599,3.9250324
16702,-9.75,48.25,3582272.228,28.18,0.106970903,0.675328223,1188,0.646446324,0.169514878,14.25929046,0.221504137,98676.71029,0.348111071,3.891117419
16703,-9.25,48.25,156127.8309,19.42,0.225515021,0.598027686,609,0.691355262,0.169514878,14.25929046,0.105105762,NA,0.418011389,3.91726981
16704,-8.75,48.25,155113.2345,21.57,0.189771972,0.577053851,212,0.678096553,0.174341249,14.22958393,0.16997661,139593.539,0.455799483,3.928109108
16705,-8.25,48.25,886047.7712,29.93,0.092622227,0.654283788,244,0.675975674,0.174341249,14.22958393,0.221885958,174909.291,0.423204529,3.88290416
16706,-7.75,48.25,201945.9707,19.98,0.179759778,0.580163473,179,0.680408842,0.177636861,14.1884065,0.18662425,217544.7682,0.408168313,3.970308739
16707,-7.25,48.25,405277.8349,21.18,0.083749708,0.585007889,141,0.64795122,0.177636861,14.1884065,0.151746912,276584.493,0.436770612,3.932175743
16708,-6.75,48.25,284513.2365,22.32,0.104682925,0.585217345,132,0.607084772,0.178655377,14.12124301,0.203439128,470201.5439,0.435799258,3.927548887
16709,-6.25,48.25,240502.9047,23.01,0.093301744,0.592409292,133,0.575593914,0.178655377,14.12124301,0.26489533,428063.6704,0.464531312,3.90649447
16906,-7.75,47.75,671193.5298,20.09,0.120374414,0.649397496,1011,0.661527181,0.172997144,14.6833785,0.272469412,116564.3345,0.410790521,3.974851137
16907,-7.25,47.75,347061.1838,24.12,0.101006903,0.630766847,171,0.745246056,0.172997144,14.6833785,0.236727498,283202.4904,0.371137644,3.983114905
16908,-6.75,47.75,767169.9174,23.79,0.110076401,0.629612668,164,0.685102509,0.175062924,14.65523223,0.217529371,235952.793,0.376021315,3.95441766
16909,-6.25,47.75,313513.719,19.5,0.109726535,0.619534856,150,0.621023189,0.175062924,14.65523223,0.210535136,170259.3352,0.419819779,3.929360257
16910,-5.75,47.75,377860.6004,24.98,0.075832677,0.561652498,136,0.66890712,0.177369814,14.62635857,0.228664226,327036.3965,0.42563056,3.914290127
16911,-5.25,47.75,254309.0537,24.75,0.098995866,0.574006993,125,0.809672253,0.177369814,14.62635857,0.200014347,1251189.456,0.466310256,3.892301104
16912,-4.75,47.75,143018.6109,28.33,0.089117515,0.567225497,85,0.87644706,0.182886961,14.61224789,0.234198204,2451001.35,0.476571172,3.83923666
16913,-4.25,47.75,104845.1801,20.71,0.088178087,0.607644588,44,1.082877168,0.182886961,14.61224789,0.232694633,1415786.153,0.418965528,3.824521825
16914,-3.75,47.75,237575.8547,29.29,0.121263255,0.642771929,39,1.275274551,0.191831081,14.58757108,0.290603203,819024.7634,0.343448091,3.768868184
